Week,   Day,    Book,   Chapter
1,	1,	2-Cor,	1
1,	2,	2-Cor,	2
1,	2,	2-Cor,	3
1,	3,	2-Cor,	4
1,	4,	2-Cor,	5
1,	5,	2-Cor,	6
1,	5,	2-Cor,	7
2,	1,	2-Cor,	8
2,	2,	2-Cor,	9
2,	2,	2-Cor,	10
2,	3,	2-Cor,	11
2,	4,	2-Cor,	12
2,	5,	2-Cor,	13
3,	1,	Gal,	1
3,	1,	Gal,	2
3,	2,	Gal,	3
3,	3,	Gal,	4
3,	4,	Gal,	5
3,	5,	Gal,	6
4,	1,	Eph,	1
4,	2,	Eph,	2
4,	2,	Eph,	3
4,	3,	Eph,	4
4,	4,	Eph,	5
4,	5,	Eph,	6
5,	1,	Phil,	1
5,	2,	Phil,	2
5,	3,	Phil,	3
5,	3,	Phil,	4
5,	4,	Col,	1
5,	4,	Col,	2
5,	5,	Col,	3
5,	5,	Col,	4
6,	1,	1-Thes,	1
6,	1,	1-Thes,	2
6,	2,	1-Thes,	3
6,	2,	1-Thes,	4
6,	3,	1-Thes,	4
6,	4,	2-Thes,	1
6,	4,	2-Thes,	2
6,	5,	2-Thes,	3
7,	1,	1-Tim,	1
7,	1,	1-Tim,	2
7,	1,	1-Tim,	3
7,	2,	1-Tim,	4
7,	2,	1-Tim,	5
7,	2,	1-Tim,	6
7,	3,	2-Tim,	1
7,	3,	2-Tim,	2
7,	3,	2-Tim,	3
7,	3,	2-Tim,	4
7,	4,	Tit,	1
7,	4,	Tit,	2
7,	4,	Tit,	3
7,	5,	Phil,	1
8,	1,	Heb,	1
8,	1,	Heb,	2
8,	2,	Heb,	3
8,	3,	Heb,	4
8,	4,	Heb,	5
8,	5,	Heb,	6
9,	1,	Heb,	8
9,	2,	Heb,	9
9,	2,	Heb,	10
9,	3,	Heb,	11
9,	4,	Heb,	12
9,	5,	Heb,	13
10,	1,	Jam,	1
10,	2,	Jam,	2
10,	3,	Jam,	3
10,	4,	Jam,	4
10,	5,	Jam,	5
11,	1,	1-Pet,	1
11,	2,	1-Pet,	2
11,	3,	1-Pet,	3
11,	3,	1-Pet,	4
11,	4,	1-Pet,	5
11,	4,	2-Pet,	1
11,	5,	2-Pet,	2
11,	5,	2-Pet,	3
12,	1,	1-John,	1
12,	1,	1-John,	2
12,	2,	1-John,	3
12,	3,	1-John,	4
12,	3,	1-John,	5
12,	4,	2-John,	1
12,	4,	3-John,	1
12,	5,	Jud,	1
13,	1,	Rev,	1
13,	1,	Rev,	2
13,	2,	Rev,	3
13,	2,	Rev,	4
13,	2,	Rev,	5
13,	3,	Rev,	6
13,	3,	Rev,	7
13,	4,	Rev,	8
13,	4,	Rev,	9
13,	5,	Rev,	10
13,	5,	Rev,	11
14,	1,	Rev,	12
14,	1,	Rev,	13
14,	2,	Rev,	14
14,	2,	Rev,	15
14,	2,	Rev,	16
14,	3,	Rev,	17
14,	3,	Rev,	18
14,	4,	Rev,	19
14,	4,	Rev,	20
14,	5,	Rev,	21
14,	5,	Rev,	22
